

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
020.686  000.050  000.050: require('luasnip.util.directed_graph')
020.690  000.585  000.418: require('luasnip.util.parser.ast_utils')
020.760  000.069  000.069: require('luasnip.nodes.functionNode')
020.894  000.134  000.134: require('luasnip.nodes.choiceNode')
021.053  000.158  000.158: require('luasnip.nodes.dynamicNode')
021.084  000.029  000.029: require('luasnip.util.functions')
021.087  001.176  000.201: require('luasnip.util.parser.ast_parser')
021.245  000.157  000.157: require('luasnip.util.parser.neovim_parser')
021.249  002.998  000.099: require('luasnip.util.parser')
021.251  003.057  000.059: require('luasnip.nodes.snippetProxy')
021.255  003.415  000.229: require('luasnip.loaders.from_vscode')
025.194  009.854  004.278: require('lsp-zero.snippets')
026.757  000.184  000.184: require('vim.lsp.log')
027.312  000.007  000.007: require('vim.F')
027.315  000.554  000.547: require('vim.lsp.protocol')
028.806  000.469  000.469: require('vim.lsp._snippet')
029.054  000.221  000.221: require('vim.highlight')
029.102  001.786  001.097: require('vim.lsp.util')
029.125  002.935  000.411: require('vim.lsp.handlers')
029.825  000.698  000.698: require('vim.lsp.rpc')
030.118  000.291  000.291: require('vim.lsp.sync')
030.565  000.445  000.445: require('vim.lsp.buf')
030.726  000.159  000.159: require('vim.lsp.diagnostic')
030.916  000.189  000.189: require('vim.lsp.codelens')
030.990  005.790  001.072: require('vim.lsp')
031.120  000.129  000.129: require('lsp-zero.nvim-cmp-setup')
033.631  000.779  000.779: require('vim.diagnostic')
034.022  000.141  000.141: require('mason-core.functional.list')
034.107  000.082  000.082: require('mason-core.functional.string')
034.128  000.389  000.166: require('mason.api.command')
034.278  000.052  000.052: require('mason-lspconfig.settings')
034.376  000.096  000.096: require('mason-lspconfig.lspconfig_hook')
034.743  000.366  000.366: require('lspconfig.util')
034.905  000.074  000.074: require('mason-core.functional.table')
034.942  000.198  000.124: require('mason-lspconfig.mappings.server')
035.260  000.138  000.138: require('mason-core.async')
035.301  000.040  000.040: require('mason-core.async.uv')
035.305  000.280  000.102: require('mason-core.fs')
035.377  000.071  000.071: require('mason-core.optional')
035.440  000.061  000.061: require('mason-core.EventEmitter')
035.575  000.135  000.135: require('mason-registry.index')
035.582  000.639  000.091: require('mason-registry')
035.620  000.037  000.037: require('mason-lspconfig.server_config_extensions')
035.817  000.196  000.196: require('lspconfig.configs')
035.899  000.081  000.081: require('lspconfig.server_configurations.omnisharp')
036.104  000.043  000.043: require('mason-core.notify')
036.159  000.053  000.053: require('mason-core.functional.number')
036.174  000.232  000.135: require('mason-lspconfig.api.command')
036.322  000.062  000.062: require('lsp-zero.utils')
036.326  000.150  000.088: require('lsp-zero.state')
036.696  000.089  000.089: require('cmp_nvim_lsp.source')
036.699  000.187  000.098: require('cmp_nvim_lsp')
036.941  000.089  000.089: require('lspconfig')
037.022  000.079  000.079: require('lspconfig.server_configurations.yamlls')
